Date,Stock price,,,,
2012/11/1,10.24,,,,
2012/11/2,10.32,,,,
2012/11/3,10.32,,,,
2012/11/4,10.32,,,,
2012/11/5,10.3,,,,
2012/11/6,10.32,,,,
2012/11/7,10.38,,,,
2012/11/8,10.36,,,,
2012/11/9,10.18,,,,
2012/11/10,10.18,,,,
2012/11/11,10.18,,,,
2012/11/12,10.2,,,,
2012/11/13,10.16,,,,
2012/11/14,10.28,,,,
2012/11/15,10.2,,,,
2012/11/16,10.44,,,,
2012/11/17,10.44,,,,
2012/11/18,10.44,,,,
2012/11/19,10.7,,,,
2012/11/20,10.86,,,,
2012/11/21,11.2,,,,
2012/11/22,11.02,,,,
2012/11/23,11.2,,,,
2012/11/24,11.2,,,,
2012/11/25,11.2,,,,
2012/11/26,10.86,,,,
2012/11/27,11.16,,,,
2012/11/28,11.02,,,,
2012/11/29,10.98,,,,
2012/11/30,10.98,,,,
2012/12/1,10.98,,,,
2012/12/2,10.98,,,,
2012/12/3,10.94,,,,
2012/12/4,10.84,,,,
2012/12/5,10.92,,,,
2012/12/6,11.02,,,,
2012/12/7,11.04,,,,
2012/12/8,11.04,,,,
2012/12/9,11.04,,,,
2012/12/10,11,,,,
2012/12/11,11.1,,,,
2012/12/12,11.08,,,,
2012/12/13,11,,,,
2012/12/14,10.78,,,,
2012/12/15,10.78,,,,
2012/12/16,10.78,,,,
2012/12/17,10.8,,,,
2012/12/18,10.76,,,,
2012/12/19,10.76,,,,
2012/12/20,10.64,,,,
2012/12/21,10.96,,,,
2012/12/22,10.96,,,,
2012/12/23,10.96,,,,
2012/12/24,10.88,,,,
2012/12/25,10.88,,,,
2012/12/26,10.88,,,,
2012/12/27,11,,,,
2012/12/28,10.88,,,,
2012/12/29,10.88,,,,
2012/12/30,10.88,,,,
2012/12/31,11.02,,,,
2013/1/1,11.02,,,,
2013/1/2,10.9,,,,
2013/1/3,11.08,,,,
2013/1/4,11.18,,,,
2013/1/5,11.18,,,,
2013/1/6,11.18,,,,
2013/1/7,11.28,,,,
2013/1/8,11.46,,,,
2013/1/9,11.5,,,,
2013/1/10,11.7,,,,
2013/1/11,11.685,,,,
2013/1/12,11.685,,,,
2013/1/13,11.685,,,,
2013/1/14,11.7,,,,
2013/1/15,11.62,,,,
2013/1/16,11.38,,,,
