DATE,AIRRPMTSI
2000-01-01,49843099
2000-02-01,49931931
2000-03-01,61478163
2000-04-01,58981617
2000-05-01,61223861
2000-06-01,65601574
2000-07-01,67898320
2000-08-01,67028338
2000-09-01,56441629
2000-10-01,58834210
2000-11-01,56283261
2000-12-01,55380280
2001-01-01,53129922
2001-02-01,49992995
2001-03-01,62323049
2001-04-01,59801567
2001-05-01,60246478
2001-06-01,64987598
2001-07-01,68573410
2001-08-01,69003617
2001-09-01,39106905
2001-10-01,44271037
2001-11-01,45245063
2001-12-01,48167518
2002-01-01,46587854
2002-02-01,45157584
2002-03-01,57423396
2002-04-01,53013179
2002-05-01,55663570
2002-06-01,60224150
2002-07-01,63828500
2002-08-01,63657944
2002-09-01,49270915
2002-10-01,54019748
2002-11-01,50106815
2002-12-01,56656595
2003-01-01,51197174
2003-02-01,47040806
2003-03-01,56766580
2003-04-01,51857453
2003-05-01,54335598
2003-06-01,60272900
2003-07-01,65962215
2003-08-01,64989766
2003-09-01,52121480
2003-10-01,56724551
2003-11-01,54128776
2003-12-01,58739845
2004-01-01,53979787
2004-02-01,53179693
2004-03-01,64035864
2004-04-01,62340117
2004-05-01,62530704
2004-06-01,68866397
2004-07-01,73335889
2004-08-01,70961522
2004-09-01,57881041
2004-10-01,63021143
2004-11-01,59453942
2004-12-01,62680310
2005-01-01,59629608
2005-02-01,55795165
2005-03-01,70595861
2005-04-01,65145551
2005-05-01,68268899
2005-06-01,72952959
2005-07-01,77432998
2005-08-01,73778918
2005-09-01,62046798
2005-10-01,63640895
2005-11-01,61518984
2005-12-01,64289340
2006-01-01,61035027
2006-02-01,56729212
2006-03-01,70799794
2006-04-01,68120559
2006-05-01,69352606
2006-06-01,74099238
2006-07-01,77798621
2006-08-01,74227051
2006-09-01,62345744
2006-10-01,66082164
2006-11-01,63548732
2006-12-01,65980782
2007-01-01,63016014
2007-02-01,57793832
2007-03-01,72700241
2007-04-01,69836157
2007-05-01,71933108
2007-06-01,76926452
2007-07-01,80988340
2007-08-01,79439827
2007-09-01,65913314
2007-10-01,69445349
2007-11-01,66250428
2007-12-01,67782533
2008-01-01,64667105
2008-02-01,61504425
2008-03-01,74575531
2008-04-01,68906882
2008-05-01,72725750
2008-06-01,76162104
2008-07-01,79707545
2008-08-01,77300568
2008-09-01,61198749
2008-10-01,65018204
2008-11-01,58512623
2008-12-01,63503416
2009-01-01,58373786
2009-02-01,53506580
2009-03-01,66027342
2009-04-01,65166301
2009-05-01,65868255
2009-06-01,71350228
2009-07-01,77136799
2009-08-01,74614772
2009-09-01,61435354
2009-10-01,64274740
2009-11-01,59011015
2009-12-01,63231672
2010-01-01,59651062
2010-02-01,53240066
2010-03-01,68307090
2010-04-01,64953251
2010-05-01,68850905
2010-06-01,74474551
2010-07-01,79304441
2010-08-01,76741308
2010-09-01,65341293
2010-10-01,69071626
2010-11-01,63334293
2010-12-01,65797943
2011-01-01,61630362
2011-02-01,55391206
2011-03-01,70158268
2011-04-01,67683559
2011-05-01,71711448
2011-06-01,76057910
2011-07-01,81423231
2011-08-01,77247896
2011-09-01,66345318
2011-10-01,68177919
2011-11-01,63492941
2011-12-01,66595644
2012-01-01,61940192
2012-02-01,58243799
2012-03-01,71696205
2012-04-01,68669276
2012-05-01,71887545
2012-06-01,76760765
2012-07-01,80499331
2012-08-01,78609005
2012-09-01,66008348
2012-10-01,67677764
2012-11-01,64039210
2012-12-01,66702987
2013-01-01,63139217
2013-02-01,58109870
2013-03-01,72764478
2013-04-01,68453537
2013-05-01,73574534
2013-06-01,78467134
2013-07-01,81974582
2013-08-01,80007787
2013-09-01,67203059
2013-10-01,69727370
2013-11-01,63611195
2013-12-01,70967039
2014-01-01,64743622
2014-02-01,58474896
2014-03-01,74237229
2014-04-01,71278694
2014-05-01,75712694
2014-06-01,80063355
2014-07-01,84404540
2014-08-01,81957560
2014-09-01,69028870
2014-10-01,71887841
2014-11-01,65654285
2014-12-01,72233639
2015-01-01,66538437
2015-02-01,60331344
2015-03-01,76271051
2015-04-01,73607258
2015-05-01,78502196
2015-06-01,83253406
2015-07-01,88951664
2015-08-01,85855967
2015-09-01,73017733
2015-10-01,76678108
2015-11-01,70460064
2015-12-01,75327877
2016-01-01,69778703
2016-02-01,65019046
2016-03-01,79121815
2016-04-01,75616602
2016-05-01,81226465
2016-06-01,87041054
2016-07-01,91255737
2016-08-01,86700145
2016-09-01,75713576
2016-10-01,77763026
2016-11-01,72587405
2016-12-01,77294454
2017-01-01,71833353
2017-02-01,64619314
