DATE,RSAFS
1992-01-01,164083
1992-02-01,164260
1992-03-01,163747
1992-04-01,164759
1992-05-01,165617
1992-06-01,166098
1992-07-01,167305
1992-08-01,167797
1992-09-01,169407
1992-10-01,170681
1992-11-01,171025
1992-12-01,172995
1993-01-01,175078
1993-02-01,173770
1993-03-01,172328
1993-04-01,176766
1993-05-01,178445
1993-06-01,178201
1993-07-01,180759
1993-08-01,180692
1993-09-01,181800
1993-10-01,182910
1993-11-01,184746
1993-12-01,186339
1994-01-01,185128
1994-02-01,188077
1994-03-01,191588
1994-04-01,191632
1994-05-01,190940
1994-06-01,193196
1994-07-01,193763
1994-08-01,196157
1994-09-01,197754
1994-10-01,199579
1994-11-01,199723
1994-12-01,200670
1995-01-01,201583
1995-02-01,198383
1995-03-01,200230
1995-04-01,201048
1995-05-01,202993
1995-06-01,205507
1995-07-01,204959
1995-08-01,206529
1995-09-01,206978
1995-10-01,206157
1995-11-01,208661
1995-12-01,210434
1996-01-01,208731
1996-02-01,212011
1996-03-01,213855
1996-04-01,214644
1996-05-01,216304
1996-06-01,216059
1996-07-01,216374
1996-08-01,216355
1996-09-01,219240
1996-10-01,221039
1996-11-01,220989
1996-12-01,221898
1997-01-01,223524
1997-02-01,225409
1997-03-01,226136
1997-04-01,224588
1997-05-01,222906
1997-06-01,226048
1997-07-01,228738
1997-08-01,229317
1997-09-01,230284
1997-10-01,229822
1997-11-01,230486
1997-12-01,231197
1998-01-01,231605
1998-02-01,231664
1998-03-01,233043
1998-04-01,235976
1998-05-01,237055
1998-06-01,238958
1998-07-01,237423
1998-08-01,236412
1998-09-01,238542
1998-10-01,242531
1998-11-01,244307
1998-12-01,246577
1999-01-01,246891
1999-02-01,249510
1999-03-01,250657
1999-04-01,252418
1999-05-01,254738
1999-06-01,255472
1999-07-01,257441
1999-08-01,260253
1999-09-01,261352
1999-10-01,261825
1999-11-01,264883
1999-12-01,269876
2000-01-01,268091
2000-02-01,272020
2000-03-01,275214
2000-04-01,271004
2000-05-01,271418
2000-06-01,273440
2000-07-01,272638
2000-08-01,272943
2000-09-01,277523
2000-10-01,276973
2000-11-01,275923
2000-12-01,275736
2001-01-01,278916
2001-02-01,278799
2001-03-01,276468
2001-04-01,280804
2001-05-01,281540
2001-06-01,280399
2001-07-01,279522
2001-08-01,281423
2001-09-01,276095
2001-10-01,294613
2001-11-01,286960
2001-12-01,283708
2002-01-01,283577
2002-02-01,285061
2002-03-01,284263
2002-04-01,288820
2002-05-01,284994
2002-06-01,287401
2002-07-01,290427
2002-08-01,292582
2002-09-01,288434
2002-10-01,289634
2002-11-01,291475
2002-12-01,293819
2003-01-01,295294
2003-02-01,291178
2003-03-01,296347
2003-04-01,295643
2003-05-01,296395
2003-06-01,299662
2003-07-01,302788
2003-08-01,307745
2003-09-01,305916
2003-10-01,304824
2003-11-01,308551
2003-12-01,307362
2004-01-01,309225
2004-02-01,311427
2004-03-01,316935
2004-04-01,313531
2004-05-01,318962
2004-06-01,314971
2004-07-01,318532
2004-08-01,318945
2004-09-01,324607
2004-10-01,326680
2004-11-01,327837
2004-12-01,331877
2005-01-01,328957
2005-02-01,332980
2005-03-01,333293
2005-04-01,337003
2005-05-01,334454
2005-06-01,343955
2005-07-01,346690
2005-08-01,343110
2005-09-01,343633
2005-10-01,344319
2005-11-01,347239
2005-12-01,347526
2006-01-01,357360
2006-02-01,354735
2006-03-01,355826
2006-04-01,357601
2006-05-01,356524
2006-06-01,357754
2006-07-01,359087
2006-08-01,360514
2006-09-01,358702
2006-10-01,358398
2006-11-01,359208
2006-12-01,364270
2007-01-01,363520
2007-02-01,364090
2007-03-01,367414
2007-04-01,366280
2007-05-01,370867
2007-06-01,368080
2007-07-01,369500
2007-08-01,371019
2007-09-01,372936
2007-10-01,375217
2007-11-01,378481
2007-12-01,375256
2008-01-01,375280
2008-02-01,371734
2008-03-01,372656
2008-04-01,373086
2008-05-01,375851
2008-06-01,376378
2008-07-01,374837
2008-08-01,372112
2008-09-01,366377
2008-10-01,352768
2008-11-01,339776
2008-12-01,332307
2009-01-01,336918
2009-02-01,335698
2009-03-01,329947
2009-04-01,331313
2009-05-01,334315
2009-06-01,339535
2009-07-01,340229
2009-08-01,346657
2009-09-01,338427
2009-10-01,341578
2009-11-01,344579
2009-12-01,346215
2010-01-01,346252
2010-02-01,346835
2010-03-01,354564
2010-04-01,357095
2010-05-01,354267
2010-06-01,353811
2010-07-01,354457
2010-08-01,356505
2010-09-01,359326
2010-10-01,363736
2010-11-01,367330
2010-12-01,369294
2011-01-01,372047
2011-02-01,374970
2011-03-01,378472
2011-04-01,380796
2011-05-01,380402
2011-06-01,383072
2011-07-01,382930
2011-08-01,383822
2011-09-01,387402
2011-10-01,390299
2011-11-01,391571
2011-12-01,391744
2012-01-01,395317
2012-02-01,400042
2012-03-01,401859
2012-04-01,400077
2012-05-01,399370
2012-06-01,395782
2012-07-01,397347
2012-08-01,401904
2012-09-01,405658
2012-10-01,405877
2012-11-01,407386
2012-12-01,409343
2013-01-01,412125
2013-02-01,416603
2013-03-01,413848
2013-04-01,412655
2013-05-01,414182
2013-06-01,415777
2013-07-01,418222
2013-08-01,417503
2013-09-01,417565
2013-10-01,419693
2013-11-01,421033
2013-12-01,423005
2014-01-01,418800
2014-02-01,424117
2014-03-01,429720
2014-04-01,433675
2014-05-01,434334
2014-06-01,435094
2014-07-01,435688
2014-08-01,439554
2014-09-01,438687
2014-10-01,440396
2014-11-01,442106
2014-12-01,439323
2015-01-01,435929
2015-02-01,434153
2015-03-01,442225
2015-04-01,442183
2015-05-01,446238
2015-06-01,446238
2015-07-01,449403
2015-08-01,449592
2015-09-01,449496
2015-10-01,448616
2015-11-01,450509
2015-12-01,452756
2016-01-01,448171
2016-02-01,451209
2016-03-01,451274
