date,sum
2012-11-01,360932.45
2012-11-02,341870.46
2012-11-03,228071.25
2012-11-04,366685.63
2012-11-05,415331.5
2012-11-06,366630.68
2012-11-07,396315.74
2012-11-08,364416.03
2012-11-09,366305.05
2012-11-10,258139.71
2012-11-11,311502.11
2012-11-12,423982.67
2012-11-13,387939.87
2012-11-14,328198.95
2012-11-15,362288.73
2012-11-16,308612
2012-11-17,247577.7
2012-11-18,312583.5
2012-11-19,371704.01
2012-11-20,396766.66
2012-11-21,362894.17
2012-11-22,302848.91
2012-11-23,269893.27
2012-11-24,229607.21
2012-11-25,312796.76
2012-11-26,298817.44
2012-11-27,424367.41
2012-11-28,428544.24
2012-11-29,355459.8
2012-11-30,320712.54
2012-12-01,243625.64
2012-12-02,349552.64
2012-12-03,407400.32
2012-12-04,357407.98
2012-12-05,402306.67
2012-12-06,324329.25
2012-12-07,338113.18
2012-12-08,262611.75
2012-12-09,338266.43
2012-12-10,339591.05
2012-12-11,345740.41
2012-12-12,354181.37
2012-12-13,317682.64
2012-12-14,282265.16
2012-12-15,221130.95
2012-12-16,307673.99
2012-12-17,348924.59
2012-12-18,314432.41
2012-12-19,365202.67
2012-12-20,351750.82
2012-12-21,310624.94
2012-12-22,249122.82
2012-12-23,230237.77
2012-12-24,213059.45
2012-12-25,185766.28
2012-12-26,330051.81
2012-12-27,401242.31
2012-12-28,357330.2
2012-12-29,262814.41
2012-12-30,304722
2012-12-31,278081.69
2013-01-01,277421.06
2013-01-02,396608.02
2013-01-03,417621.79
2013-01-04,380444.9
2013-01-05,319940.52
2013-01-06,414920.96
2013-01-07,422876.48
2013-01-08,472978.22
2013-01-09,494354.75
2013-01-10,448901.39
2013-01-11,431809.61
2013-01-12,329245.67
2013-01-13,410750.91
2013-01-14,503737.08
2013-01-15,487463.77
2013-01-16,464753.89
2013-01-17,434224.95
2013-01-18,428100.79
2013-01-19,321847.32
2013-01-20,423799.72
2013-01-21,506502.68
2013-01-22,486544.01
2013-01-23,462576.15
2013-01-24,405955.5
2013-01-25,338463.29
2013-01-26,323241.64
2013-01-27,442287.35
2013-01-28,442643.56
2013-01-29,487175.12
2013-01-30,492928.37
2013-01-31,456936.1
2013-02-01,407240.77
2013-02-02,334698.32
2013-02-03,438187.39
2013-02-04,475147.46
2013-02-05,503450.21
2013-02-06,481815.95
2013-02-07,463626.56
2013-02-08,478247.32
2013-02-09,370406.03
2013-02-10,449313.94
2013-02-11,534666.46
2013-02-12,524914.03
2013-02-13,489464.15
2013-02-14,402332.8
2013-02-15,422132.29
2013-02-16,337436.81
2013-02-17,408852.83
2013-02-18,456686.77
2013-02-19,468250.62
2013-02-20,471932.62
2013-02-21,463495.21
2013-02-22,436087.58
2013-02-23,394542.56
2013-02-24,448389.42
2013-02-25,500495.71
2013-02-26,505274.36
2013-02-27,511773.64
2013-02-28,518105.09
2013-03-01,469687.58
2013-03-02,376461.62
2013-03-03,481779.7
2013-03-04,552755.88
2013-03-05,535994.01
2013-03-06,588650.91
2013-03-07,516492.66
2013-03-08,477469.06
2013-03-09,430518.89
2013-03-10,432138.3
2013-03-11,562742.67
2013-03-12,532104.21
2013-03-13,507517.93
2013-03-14,501655.65
2013-03-15,475625.56
2013-03-16,393706.55
2013-03-17,527765.41
2013-03-18,565644.77
2013-03-19,539211.89
2013-03-20,505533.56
2013-03-21,417465.99
2013-03-22,438295.56
2013-03-23,358126.34
2013-03-24,485434.69
2013-03-25,431665.06
2013-03-26,477296.36
2013-03-27,517052.4
2013-03-28,517146.02
2013-03-29,447356.64
2013-03-30,305800.17
2013-03-31,373540.05
2013-04-01,492617.59
2013-04-02,544977.15
2013-04-03,536777.17
2013-04-04,518630.14
2013-04-05,450753.64
2013-04-06,387031.97
2013-04-07,415146.98
2013-04-08,488789.65
2013-04-09,529902.87
2013-04-10,515864.65
2013-04-11,482069.81
2013-04-12,445086.16
2013-04-13,374815.82
2013-04-14,447142.78
2013-04-15,470498.69
2013-04-16,507949.3
2013-04-17,535160.26
2013-04-18,459443.09
2013-04-19,434278.45
2013-04-20,331387.24
2013-04-21,434978.04
2013-04-22,625066.67
2013-04-23,450402.11
2013-04-24,527555.96
2013-04-25,394665.94
2013-04-26,471527.99
2013-04-27,317469.22
2013-04-28,412200.21
2013-04-29,567848.25
2013-04-30,532470.58
2013-05-01,514496.3
2013-05-02,531998.57
2013-05-03,363684.62
2013-05-04,496967.97
2013-05-05,423951.33
2013-05-06,538885.9
2013-05-07,768544.91
2013-05-08,530715.21
2013-05-09,515835.29
2013-05-10,425031.95
2013-05-11,394238.02
2013-05-12,457623.79
2013-05-13,578142.24
2013-05-14,554491.39
2013-05-15,586394.2
2013-05-16,525758.09
2013-05-17,526834.79
2013-05-18,391664.78
2013-05-19,676744.89
2013-05-20,578110.97
2013-05-21,565754.12
2013-05-22,564683.57
2013-05-23,527624.59
2013-05-24,462577.87
2013-05-25,390564
2013-05-26,406226.16
2013-05-27,513852.52
2013-05-28,561947.81
2013-05-29,591207.94
2013-05-30,511525.11
2013-05-31,499422.11
2013-06-01,360805.79
2013-06-02,469474.78
2013-06-03,643174.23
2013-06-04,554297.05
2013-06-05,633835.84
2013-06-06,535370.81
2013-06-07,498763.75
2013-06-08,408337.94
2013-06-09,513285.8
2013-06-10,648406.79
2013-06-11,720671
2013-06-12,612479.62
2013-06-13,570120.91
2013-06-14,515382
2013-06-15,426635.41
2013-06-16,490375.88
2013-06-17,646981.66
2013-06-18,630629.3
2013-06-19,556163.65
2013-06-20,578599.23
2013-06-21,499828.76
2013-06-22,400153.46
2013-06-23,490519.56
2013-06-24,636471.97
2013-06-25,652277.19
2013-06-26,677723.33
2013-06-27,505529.48
2013-06-28,502407.42
2013-06-29,439591.95
2013-06-30,531130.52
